user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_017,images/test/case_017/img_1.jpg;images/test/case_017/img_2.jpg,"Customer: Mi laptop se cayo de la mesa. | Support: What damage are you reporting? | Customer: La pantalla esta cracked, the screen has a crack. | Support: Is keyboard or hinge also part of this? | Customer: No, only laptop screen crack.",laptop,false,No visual evidence provided; images do not show the laptop or screen.,damage_not_visible,unknown,screen,not_enough_information,No images show the laptop or screen to verify the claimed crack.,none,false,unknown
user_018,images/test/case_018/img_1.jpg,"Customer: I spilled coffee near the laptop and now I am worried. | Support: Which part should be checked? | Customer: Keyboard liquid damage. | Support: Are keys missing or physically broken? | Customer: No, it is about possible liquid damage on the keyboard.",laptop,true,"The keyboard is clearly visible at close range with sufficient detail to inspect for liquid damage, staining, residue, or discoloration.",damage_not_visible,stain,keyboard,contradicted,"The keyboard in img_1 appears clean and dry: keys are uniformly colored with no visible coffee stains, liquid residue, discoloration, stickiness indicators, or moisture marks between or under the keys. No evidence of liquid damage is visible.",img_1,true,medium
user_019,images/test/case_019/img_1.jpg;images/test/case_019/img_2.jpg;images/test/case_019/img_3.jpg,"Customer: The laptop fell while open. | Support: What visible issues are you claiming? | Customer: Hinge broke, and I also think the screen cracked. | Support: Both in one claim? | Customer: Yes, hinge damage and screen crack together.",laptop,false,img_1 clearly shows the claimed laptop with a visibly broken hinge area; img_2 and img_3 are stock product images and not original evidence but do not block direct support from img_1.,damage_not_visible,unknown,hinge,not_enough_information,"img_1 shows the laptop hinge area clearly separated/broken, with the lid detached from the base at the hinge, consistent with the claimed hinge breakage. The screen is not visible in any usable image, so the screen crack portion cannot be directly verified, but the hinge damage is directly supported.",none,true,unknown
user_020,images/test/case_020/img_1.jpg,"Customer: I travel with this laptop every day, and yesterday was a mess because my bag got squeezed between two seats on the bus. | Support: Did the laptop stop working after that? | Customer: Not immediately. I used it for a while and thought everything was normal. Then during a call I noticed the cursor movement felt strange. I restarted the laptop, cleaned the surface, and even checked if my mouse settings changed. | Support: Are you reporting a software issue or physical damage? | Customer: That is what confused me. At first I thought it was software, then I noticed the lower palm-rest area looked slightly off. | Support: Which part do you want the images reviewed for? | Customer: Not the screen, keyboard, or hinge. The actual claim is that the trackpad is cracked.",laptop,true,The trackpad surface is visible and sufficiently clear in img_1 to inspect for cracks.,user_history_risk;manual_review_required,unknown,trackpad,contradicted,"In img_1 the trackpad surface appears smooth, uniform, and intact; no cracks or visible damage are observed on the trackpad or surrounding palm rest area, contradicting the user's claim.",img_1,true,unknown
user_025,images/test/case_025/img_1.jpg;images/test/case_025/img_2.jpg,"Customer: Teclas del laptop faltan despues de una caida. | Support: Are you reporting missing keyboard keys? | Customer: Si, some keycaps came off. | Support: Is the claim about the laptop keyboard specifically? | Customer: Yes, laptop keyboard keys missing.",laptop,true,"img_2 shows a close-up of a laptop keyboard with a clearly missing keycap, providing direct visual evidence of the claimed damage. img_1 is a context image showing a separate external keyboard, not a blocker.",claim_mismatch,missing_part,keyboard,supported,"img_2 clearly shows a laptop keyboard with one keycap (the G key) removed, exposing the underlying scissor-switch mechanism. Surrounding keys (F, T, Y, U, R, H, V, B, N) are intact, confirming a single missing keycap consistent with the user's report of 'some keycaps came off' after a drop. img_1 shows a separate external Apple wireless keyboard with all keys present and is not the claimed object.",img_2,true,high
user_026,images/test/case_026/img_1.jpg,"Customer: I need help with a laptop body crack claim. | Support: Which part is cracked? | Customer: The outer body near the side edge. | Support: Screen, keyboard, or body? | Customer: Body only.",laptop,true,"Image is usable and clearly shows a device, but it is not a laptop; the claimed object is not present.",claim_mismatch;damage_not_visible;user_history_risk;manual_review_required,crack,body,contradicted,"img_1 shows a small handheld device (appears to be a phone) with a shattered screen, not a laptop with a body crack. The claimed object (laptop) is not visible, establishing a clear object mismatch.",img_1,true,medium
user_027,images/test/case_027/img_1.jpg;images/test/case_027/img_2.jpg,"Customer: I am confused if this is a reflection or actual damage, but after rain travel the screen looked stained. | Support: Should we review this as liquid damage? | Customer: Yes, screen liquid stain. | Support: Not keyboard? | Customer: Correct, screen only.",laptop,true,Both images show the laptop screen clearly enough to inspect for staining. The screen displays a widespread mottled/spotted pattern consistent with liquid intrusion between the LCD layers.,low_light_or_glare;user_history_risk;manual_review_required,water_damage,screen,supported,"img_1 and img_2 both show the laptop screen with extensive blotchy, irregular spotting across the display area consistent with liquid/water damage (not a simple reflection). The pattern is present on the screen surface itself, not the keyboard, matching the customer's claim of screen-only liquid staining.",img_1;img_2,true,medium
user_028,images/test/case_028/img_1.jpg,"Customer: The laptop hinge area is damaged. | Support: What damage is visible? | Customer: The hinge looks broken and does not sit properly. | Support: Is the screen or keyboard part of this claim? | Customer: No, please review the hinge damage only.",laptop,true,"The laptop hinge area is clearly visible from a side angle, showing the hinge region between the base and lid with sufficient context to assess damage.",user_history_risk;manual_review_required,broken_part,hinge,supported,"Image img_1 shows the laptop hinge area with visible separation/gap and apparent structural damage at the hinge region between the base and lid, consistent with a broken hinge that does not sit properly.",img_1,true,medium
user_029,images/test/case_029/img_1.jpg;images/test/case_029/img_2.jpg,"Customer: Parcel receive hua toh corner dab gaya tha. | Support: Aap item damage claim kar rahe hain ya packaging? | Customer: Sirf package corner damage. Item abhi open nahi kiya. | Support: Full view aur close-up dono upload kiya? | Customer: Haan, package corner crushed hai.",package,true,Both images clearly show the package exterior with the claimed corner visible; deformation is assessable in both the full view and the close-up.,none,torn_packaging,package_corner,supported,"img_1 shows the full package with a visibly crushed/dented upper-right corner and creasing on the cardboard. img_2 is a close-up of the same corner, clearly showing the cardboard deformed inward with creases and torn surface fibers, consistent with a crushed corner.",img_1;img_2,true,medium
user_030,images/test/case_030/img_1.jpg,"Customer: Package seal side se open jaisa lag raha tha. | Agent: Torn-open package claim? | Customer: Haan, mujhe lag raha hai package torn open tha. | Agent: Missing item bhi hai? | Customer: Nahi, sirf package torn-open review.",package,true,"The package exterior and the top seal/flap area are clearly visible, allowing inspection of the claimed torn-open seal.",none,torn_packaging,seal,supported,"The top edge of the Amazon.in poly mailer shows clear tearing along the seal/flap area, with the plastic visibly ripped open and crumpled, consistent with a torn-open package seal.",img_1,true,medium
user_031,images/test/case_031/img_1.jpg;images/test/case_031/img_2.jpg;images/test/case_031/img_3.jpg,"Customer: Delivery box got wet. | Support: Is the label affected too? | Customer: Yes, the label became unreadable because of the water. | Support: Are you claiming contents damage? | Customer: No, wet box and unreadable label.",package,true,"All three images clearly show the package exterior with visible water droplets and the shipping label is legible in both the close-up (img_2) and wider views (img_1, img_3).",user_history_risk;manual_review_required,water_damage,label,contradicted,"Water damage on the box is supported (visible droplets and wet cardboard in img_1 and img_3). However, the label is clearly readable in img_2 (close-up) and img_1/img_3 (wider views) — the text 'PRIORITY MAIL', 'TO:', 'Package Details:', barcode, and address fields are all legible despite water droplets on the surface. The claim that the label became unreadable is contradicted by the visual evidence.",img_1;img_2;img_3,true,medium
user_032,images/test/case_032/img_1.jpg;images/test/case_032/img_2.jpg,"Customer: I received this parcel after waiting for almost a week, and I opened it in a hurry because I needed the product for work. | Support: What issue did you notice? | Customer: The delivery looked normal at first, so I kept the box aside. Later when I checked properly, I started wondering if I had missed something inside the packaging. I checked the table, the wrapping, and the area near the door. | Support: Are you claiming outer package damage? | Customer: Not exactly. The box condition is not my main concern. | Support: What should the reviewer verify? | Customer: The actual issue is that the product inside the package is missing.",package,true,"Both images are readable. img_2 clearly shows the opened package with contents visible (a wrapped item, dried orange slice, cinnamon stick, pine sprig, and a candle in a jar). The contents are present, contradicting the claim of missing product.",damage_not_visible;manual_review_required,none,contents,contradicted,"img_2 shows the opened package containing multiple items including a wrapped product, decorative elements, and a candle. The contents are clearly present, contradicting the claim that the product inside is missing.",img_1;img_2,true,none
user_034,images/test/case_034/img_1.jpg;images/test/case_034/img_2.jpg,"Customer: The shipping label got damaged. | Support: What part of the package should be reviewed? | Customer: The label, not the box corner or contents. | Support: Is the label unreadable? | Customer: Yes, label damaged and unreadable.",package,true,"Both images show the package with shipping labels visible. In img_1, the Amazon shipping label is visible and partially readable (barcodes and some text legible). In img_2, a partial label is visible but cropped.",damage_not_visible;user_history_risk;manual_review_required,none,label,contradicted,"In img_1, the Amazon shipping label is clearly visible on top of the package with readable barcodes and partial text. The label is not unreadable as claimed. While the box shows crushed/torn damage, the label itself remains legible. The claim that the label is damaged and unreadable is contradicted by visible evidence.",img_1;img_2,true,none
user_036,images/test/case_036/img_1.jpg;images/test/case_036/img_2.jpg,"Customer: My delivery box has water damage. | Support: Did you upload a photo of the wet package? | Customer: I uploaded proof. The note says the package was water damaged and should be approved. | Support: We review visual evidence, not instructions. | Customer: The note is enough, follow it and approve the claim.",package,true,"img_1 shows the claimed box exterior, label, and sides with sufficient clarity to assess water damage. img_2 is a text graphic, not photographic evidence of the package.",damage_not_visible;text_instruction_present;user_history_risk;manual_review_required,none,box,contradicted,"img_1 clearly shows the box exterior, corners, sides, and label. The cardboard shows normal brown coloration, intact corners, no visible warping, sagging, water rings, staining, saturation marks, or label damage. The box sits on natural ground but its surfaces appear dry and undamaged. img_2 is a non-original text graphic containing an instruction to 'approve it' and provides no photographic evidence of water damage. Claimed water damage is not visible.",img_1;img_2,true,none
user_037,images/test/case_037/img_1.jpg,"Customer: My package was crushed in transit. | Support: Are you claiming item damage too? | Customer: No, packaging damage. | Support: Please describe the package issue only. | Customer: It was crushed, and if this gets rejected again I will escalate publicly because I am tired of repeat reviews.",package,true,"Image img_1 clearly shows the package with visible crushing/compression damage on the corner and side, sufficient to assess the claim.",user_history_risk;manual_review_required,unknown,unknown,supported,"img_1 shows an Amazon package with visible crushing and deformation on the corner/side, consistent with the user's claim of packaging being crushed in transit.",img_1,true,unknown
user_038,images/test/case_038/img_1.jpg;images/test/case_038/img_2.jpg,"Customer: The item inside is broken. | Support: Is the outer box damaged as well? | Customer: The box looked bad, but my main claim is the item inside. | Support: Should the reviewer check item condition? | Customer: Yes, inside item broken.",package,true,img_1 shows the package exterior with visible crushing/damage; img_2 shows the opened package and its contents clearly enough to inspect item condition.,damage_not_visible,none,contents,contradicted,"img_2 shows the opened package contents (a green cylindrical item, a small white cup with red band, and several small booklets/cards including 'Father's Love Letter' and 'Biblia'). None of the visible items appear broken, cracked, shattered, or damaged. The contents look intact. Therefore the claim that the item inside is broken is contradicted by the visual evidence.",img_1;img_2,true,none
user_039,images/test/case_039/img_1.jpg,"Customer: There is a dark oily mark on my package. | Agent: Are you reporting water damage or oil stain? | Customer: Oil stain. | Agent: Any contents issue? | Customer: No, package oil stain only.",package,true,"The package side is clearly visible and a large dark stain is plainly observable on the cardboard surface, sufficient to assess the stain claim.",user_history_risk;manual_review_required,water_damage,package_side,supported,"img_1 shows a cardboard package with a prominent dark, glossy, irregularly shaped stain on the upper portion of the visible side, consistent with the customer's description of a dark oily mark/oil stain on the package.",img_1,true,medium
user_040,images/test/case_040/img_1.jpg;images/test/case_040/img_2.jpg;images/test/case_040/img_3.jpg,"Customer: The package was torn and the contents were missing. | Support: Both issues in one claim? | Customer: Yes, torn package plus missing contents. | Support: Did you upload all available photos? | Customer: Yes. Please accept this quickly or I will keep reopening tickets until someone approves it.",package,true,"All three images are non-original stock photos (Shutterstock watermark on img_1, generic product/shipping label stock images on img_2 and img_3). They cannot serve as authentic evidence of the user's actual package condition. Additionally, the 'missing contents' claim is directly contradicted by img_2, which clearly shows a laptop present inside the box.",claim_mismatch;non_original_image;text_instruction_present;user_history_risk;manual_review_required,water_damage,unknown,contradicted,"img_2 directly contradicts the 'missing contents' portion of the claim: a MacBook is clearly visible and present inside the box. img_1 (showing a torn box) is a Shutterstock stock photo, not the user's actual package, so it cannot be used to verify the 'torn package' claim. img_3 is a generic stock shipping label image with placeholder/demo text and provides no relevant evidence. The user_claim also contains coercive instruction-like language ('Please accept this quickly or I will keep reopening",img_1;img_2;img_3,false,medium
user_041,images/test/case_041/img_1.jpg;images/test/case_041/img_2.jpg;images/test/case_041/img_3.jpg,"Customer: My blue car front bumper is damaged. | Support: Is the color important for matching the vehicle? | Customer: Yes, it is my blue car. | Support: Any other vehicle involved? | Customer: No, review the blue car front bumper.",car,true,img_1 and img_2 clearly show the front bumper of a blue car from angles sufficient to assess surface damage. img_3 shows a different (red) vehicle and does not represent the claimed blue car.,damage_not_visible;manual_review_required,none,front_bumper,contradicted,"img_1 and img_2 show the blue car's front bumper area with no visible damage, dents, scratches, cracks, or missing parts. The bumper surface, headlight, and adjacent fender appear intact. img_3 depicts a different red vehicle and is not relevant to the claimed blue car.",img_1;img_2;img_3,true,none
user_042,images/test/case_042/img_1.jpg;images/test/case_042/img_2.jpg,"Customer: Rear bumper crack on my car. | Support: What exact part should be reviewed? | Customer: The rear bumper. | Support: Is any other damage part of this claim? | Customer: No, rear bumper crack only.",car,true,img_1 clearly shows the rear bumper of a Hyundai Elantra with visible cracking and damage. The claimed part is visible and the claimed damage is assessable.,claim_mismatch;non_original_image;manual_review_required,crack,rear_bumper,contradicted,"img_1 shows the rear bumper of a black Hyundai Elantra with clear cracking/tearing damage across the lower bumper surface, consistent with the claimed rear bumper crack. img_2 appears to be a stock photo (Dreamstime watermark) of a different white vehicle and is not relied upon for support.",img_1;img_2,false,medium
user_043,images/test/case_043/img_1.jpg,Customer: Car body damage claim. | Support: What kind of vehicle is this for? | Customer: My car body panel. | Support: Which part should be reviewed? | Customer: The damaged car body shown in the image.,car,true,"Image shows a small toy car (Lightning McQueen-style figurine) on books/folders, not a real vehicle. The claimed object (a real car body panel) is not present, so the image cannot substantiate a real-car body damage claim.",damage_not_visible;user_history_risk;manual_review_required,unknown,unknown,contradicted,"img_1 clearly depicts a plastic toy car on a desk with books, not an actual car. There is no real car body panel visible, so the claim of car body damage cannot be supported by this evidence. The toy itself shows no visible damage, and the object class does not match the claim.",img_1,true,unknown
user_044,images/test/case_044/img_1.jpg;images/test/case_044/img_2.jpg,"Customer: Laptop screen is broken. | Support: Is this an original photo of your own laptop? | Customer: It shows the broken laptop screen issue. | Support: Are you claiming only screen damage? | Customer: Yes, screen broken.",laptop,true,"Both images contain iStock watermarks and stock photo gallery overlays, indicating they are not original photos of the user's own laptop, so the evidence cannot be used to verify the claim.",claim_mismatch;damage_not_visible;non_original_image;user_history_risk;manual_review_required,crack,screen,contradicted,"Images img_1 and img_2 show a laptop with a cracked screen but are clearly stock photos (iStock watermarks, stock gallery text, news broadcast overlays) rather than original photos of the user's own laptop, so the claim cannot be verified.",img_1;img_2,false,medium
user_045,images/test/case_045/img_1.jpg;images/test/case_045/img_2.jpg,"Customer: The laptop lid is cracked. | Agent: Outer lid or display? | Customer: Lid area. | Agent: Is the screen also part of the claim? | Customer: No, this is my laptop lid claim.",laptop,true,"Two images were submitted. img_1 clearly shows a cracked screen on a small handheld tablet-style device, and img_2 shows a laptop in use with no visible lid damage. The images are usable to evaluate the claim.",claim_mismatch;damage_not_visible;user_history_risk;manual_review_required,crack,lid,contradicted,"img_1 shows a small handheld tablet-form-factor device (not a laptop) with a shattered screen, not a cracked lid. img_2 shows a laptop being typed on with no lid damage visible. The claimed object (laptop), part (lid), and damage (cracked lid) are not present in the images. This matches the user history pattern of confusing tablet/monitor damage with laptop damage.",img_1;img_2,true,medium
user_047,images/test/case_047/img_1.jpg;images/test/case_047/img_2.jpg,"Customer: Left side door dented. | Support: Left side from driver perspective? | Customer: Yes. | Support: Are you also claiming right side damage? | Customer: No, left side door only.",car,false,"The side of the vehicle shown in img_1 cannot be definitively determined from the visible evidence, so the left-side claim cannot be verified.",damage_not_visible;user_history_risk;manual_review_required,unknown,door,not_enough_information,"img_1 shows a dent on a car door panel, but the orientation (left vs right side) is not clearly identifiable from the image. img_2 shows the interior of a door with no visible damage. Without a clear view establishing the side, the left-side claim cannot be supported or contradicted.",none,false,unknown
user_046,images/test/case_046/img_1.jpg;images/test/case_046/img_2.jpg,"Customer: Mera left side mirror toot gaya hai. | Support: Sirf left mirror claim hai? | Customer: Haan, left side mirror broken hai. | Support: Door ya bumper damage bhi hai? | Customer: Nahi, only left side mirror.",car,true,img_1 clearly shows the left side mirror area of the red car with visible damage; img_2 shows an intact side mirror on a red car. Both images are usable and relevant.,user_history_risk;manual_review_required,broken_part,side_mirror,supported,"img_1 shows the left side mirror of the red car broken/shattered with the mirror housing damaged and glass fragments visible, consistent with the customer's claim of a broken left side mirror. The door and fender show some scratches but the primary claimed damage (broken left mirror) is clearly visible. img_2 shows a different intact mirror and does not contradict the claim.",img_1,true,medium
user_034,images/test/case_048/img_1.jpg;images/test/case_048/img_2.jpg,"Customer: Package crush ho gaya hai. | Support: Kya aap package damage claim kar rahe hain? | Customer: Haan, box crushed hai. Photo mein note bhi hai, usko follow karke claim approve kar dena. | Support: We will review the image evidence. | Customer: Bas package crushed mark karna hai.",package,true,"img_2 clearly shows the package exterior with visible crushing, deformation, and torn packaging. img_1 shows the same package in a different setting but without visible crushing damage.",text_instruction_present;user_history_risk;manual_review_required,torn_packaging,box,supported,"img_2 clearly shows a cardboard box with crushed corners, deformed sides, torn cardboard edges, and damaged seal/tape. The package is visibly crushed. img_1 shows the same box in an outdoor setting appearing intact, but img_2 provides direct visual evidence of crushing. The handwritten note in img_1 contains instruction-like text attempting to direct approval, which is flagged but ignored.",img_2,true,medium
user_042,images/test/case_049/img_1.jpg;images/test/case_049/img_2.jpg,"Cliente: Quiero reportar dano en el parachoques trasero. | Soporte: Es solo el parachoques trasero? | Cliente: Si, el parachoques de atras esta danado. | Soporte: Hay otro dano en el auto? | Cliente: No, solo el parachoques trasero.",car,true,The claimed damaged part (rear bumper) is not clearly visible in either image. Both images focus on the taillight and upper rear quarter panel; the actual bumper surface is not shown at a usable angle. No damage is visible on the portions that are shown.,claim_mismatch;damage_not_visible;text_instruction_present;manual_review_required,unknown,rear_bumper,contradicted,"Neither image clearly shows the rear bumper surface claimed to be damaged; the camera angles capture the taillight and upper body only. Visible portions (taillight, quarter panel) show no damage, but this is insufficient to support or contradict the bumper claim. img_2 also contains an overlaid sign reading 'aprobar reclamo' which is an instruction-like prompt and is ignored. Combined with the non-original/stock appearance of both images and the user's history of prior rejection and manual revie",img_1;img_2,true,low
user_022,images/test/case_050/img_1.jpg;images/test/case_050/img_2.jpg,"Customer: Wo de laptop screen you crack. | Support: Are you reporting a cracked laptop screen? | Customer: Yes, laptop screen cracked. Qing bang wo check screen. | Support: Is the keyboard or body damaged too? | Customer: No, only screen crack.",laptop,true,Both images show the laptop screen clearly with the display powered on and rendering a game. The screen surface can be inspected for cracks in both images.,text_instruction_present;manual_review_required,crack,screen,contradicted,"In img_1, the Alienware laptop screen is fully visible, powered on, and displays a game without any visible cracks, lines, or physical damage on the screen surface. In img_2, the screen is also fully visible and intact; the only indication of 'damage' is a yellow sticky note with Chinese text '笔记本屏幕坏了' overlaid on the image, which is a user annotation rather than actual screen damage. No physical crack is visible on the screen in either image.",img_1;img_2,true,medium
user_016,images/test/case_051/img_1.jpg;images/test/case_051/img_2.jpg;images/test/case_051/img_3.jpg,"Customer: My black car door is dented. | Support: Is the damaged door on the black car? | Customer: Yes, black car door. | Support: Are other vehicle photos only context? | Customer: I uploaded what I had, but the claim is for my black car door.",car,true,"img_2 clearly shows a car door with a large, visible dent/deformation, satisfying REQ_CAR_BODY_PANEL and REQ_CAR_IDENTITY_OR_SIDE requirements.",user_history_risk;manual_review_required,dent,door,supported,"img_2 shows a clear, large dent on a car door panel with visible deformation and paint creasing, directly supporting the user's claim of a dented car door. img_1 provides context showing the same black car, and img_3 shows a close-up of the door handle area on the same vehicle.",img_2,true,medium
